restaurant_id,restaurant_name,cuisine_type,restaurant_address,latitude,longitude,manhattan_region,restaurant_rating,review_count,price
Cz6It2NB_QBXCjnlsWGZSA,Boulton & Watt,American,"'5 Ave A, New York, NY 10009'",40.7224963,-73.986439,Downtown,4.0,674,$$
oSAiyZF-xTqdRkwN5KrV_Q,Del Frisco's Grille,American,"'50 Rockefeller Plz, New York, NY 10020'",40.7596566,-73.9783161,Midtown,3.5,705,$$$
W0k5HHTa7IJsR51Nf7fOmA,Times Square Diner,American,"'807 8th Ave, New York, NY 10019'",40.7614036889404,-73.9869685269328,Midtown,4.0,939,$$
GoHiAkblJb7mqFEiD8T62g,Dig,American,"'2884 Broadway, New York, NY 10025'",40.8055649,-73.9653549,Uptown,4.0,325,$$
BSv3awhABROYjjwlQaQ-Qw,Tiny's & The Bar Upstairs,American,"'135 W Broadway, New York, NY 10013'",40.716698,-74.00816,Downtown,4.0,585,$$
eGfpa9r0aGtN3V8ZwgaOEw,The Supply House,American,"'1647 2nd Ave, New York, NY 10028'",40.7775579,-73.9521892,Uptown,4.0,346,$$
CVxz9B5ncpMwVK1bk_c1YA,Veselka,American,"'144 2nd Ave, New York, NY 10003'",40.7289505004883,-73.9869689941406,Downtown,4.0,2600,$$
uYLIo8FCr9Ug5SFORDdsPA,The Burgary,American,"'67 Clinton St, New York, NY 10002'",40.7193370804105,-73.9850228946549,Downtown,4.5,259,$$
yDKChr-KX1Q1TbxUjaQJ_g,The Spotted Dog,American,"'1154 1st Ave, New York, NY 10065'",40.7623521711694,-73.9597779041227,Midtown,4.0,126,$$
zZpuUqF0iENnyYd2UYIX6w,Locksmith Bar,American,"'4463 Broadway, New York, NY 10040'",40.8573807,-73.9325659,Harlem,4.0,375,$$
b8a-8u_A51v2IzyjLVsx6w,Del Frisco's Double Eagle Steakhouse,American,"'1221 Ave Of The Americas, New York, NY 10020'",40.759412,-73.982221,Midtown,4.5,3011,$$$$
x7hsZRd_MyrUgAW91FM9qA,Benson's NYC,American,"'181 Essex St, New York, NY 10002'",40.7218302,-73.9866963,Downtown,4.5,389,$$
9o4y3IqpFDaj8FddJ6oi2A,Clement,American,"'700 5th Ave, New York, NY 10019'",40.7616673527305,-73.9755601503319,Midtown,4.0,150,$$$
ZtjF2N3eYOjtnI3cES2fpw,Duke Eatery,American,"'300 Park Ave, New York, NY 10022'",40.7569688575924,-73.9750746534424,Midtown,4.0,56,$$
txSykTj5nbwmpiVNoK_Dyg,Blue Ribbon Brasserie - SoHo,American,"'97 Sullivan St, New York, NY 10012'",40.725456,-74.003027,Downtown,4.5,936,$$$
92m23CB9r9XrPFK7_7-SmQ,Flip'n Toss,American,"'82 Christopher St, New York, NY 10014'",40.73341,-74.00364,Downtown,4.0,181,$$
uq5rHbGtBFwCwPkokIkKvQ,JoJo,American,"'160 E 64th St, New York, NY 10065'",40.76506,-73.96571,Midtown,4.0,155,$$$
NT2mKx3_kxO9tpjeP2Sv6Q,The Malt House,American,"'206 Thompson St, New York, NY 10012'",40.728647,-73.999383,Downtown,4.0,420,$$
veq1Bl1DW3UWMekZJUsG1Q,Gramercy Tavern,American,"'42 E 20th St, New York, NY 10003'",40.73844,-73.98825,Midtown,4.5,2918,$$$$
xTWpl9DgIkkr5B8h8_xUpA,Lokal 83 Mediterranean Kitchen,American,"'473 Columbus Ave, 83rd street, New York, NY 10024'",40.7842696,-73.9734941,Uptown,4.5,323,$$
P7yE1T1TDFIiYgLdEYR3Gw,Bill's Townhouse,American,"'57 E 54th St, New York, NY 10022'",40.7602615356445,-73.9729461669922,Midtown,4.5,112,$$$
_pXppRVEAW6zi8uRjx1ULg,Hudson Yards Tavern,American,"'360 9th Ave, New York, NY 10001'",40.751018,-73.997622,Midtown,4.5,9,
KF4dTBX9ITMTSjwEXxXZ6g,Friedman's,American,"'130 W 72nd St, New York, NY 10023'",40.77775,-73.98003,Uptown,4.0,139,$$
UTzACyFayWbmg19iqrXFXA,Boilermaker,American,"'13 First Ave, New York, NY 10003'",40.72345,-73.98855,Downtown,4.0,238,$$
0yg9DS4RDceQ6HgH3Jx80Q,Sean's Bar & Kitchen,American,"'42 West 48th St, New York, NY 10036'",40.75801,-73.98008,Midtown,4.0,309,$$
zHh6ioC3tSXBFhXXuXrL8A,Gebhard's Beer Culture,American,"'228 W 72nd St, New York, NY 10023'",40.778946,-73.983219,Uptown,4.0,133,$$
PYcL2z9gHj6-ZTlViT9Nqw,Minetta Tavern,American,"'113 Macdougal St, New York, NY 10012'",40.7300047976758,-74.0006073834151,Downtown,4.0,2196,$$$
EaAAP-gDALDL7GxcseMjBQ,The Polo Bar,American,"'1 E 55th St, New York, NY 10022'",40.761559099,-73.9743427135,Midtown,4.0,423,$$$
jEkqVhK6lSfTR6Hw564CDw,Farm to Burger,American,"'310 West 40th St, New York, NY 10018'",40.75616,-73.99171,Midtown,4.0,49,$$
bRPq-Nmct5bOuOtsu8fC7Q,S'MAC,American,"'197 1st Ave, New York, NY 10003'",40.730212,-73.983724,Downtown,3.5,2189,$$
rTq1vdeRfm8cE3DgKXmNzg,Fever-Tree Porch,American,"'25 W 40th St, New York, NY 10018'",40.75319,-73.98298,Midtown,4.5,11,
0BzxIsoRuFvxbMPl-iH70A,Market Table,American,"'54 Carmine St, New York, NY 10014'",40.7297659255873,-74.0037665277862,Downtown,4.0,789,$$$
Ys9iYSjuFDpZj7B1X07v5g,Liberty Bagels Midtown,American,"'260 W 35th St, New York, NY 10001'",40.75255,-73.99249,Midtown,4.5,527,$
